"Route","Departing_Port","Arriving_Port","Airline","Month","Sectors_Scheduled","Sectors_Flown","Cancellations","Departures_On_Time","Arrivals_On_Time","Departures_Delayed","Arrivals_Delayed","Year","Month_Num","Departing_Latitude","Departing_Longitude","Arriving_Latitude","Arriving_Longitude"
"Gold Coast-Melbourne","Gold Coast","Melbourne","Virgin Australia","Mar-21",102,102,0,76,85,26,17,2021,3,-28.1644,153.5051,-37.669,144.841
"Gold Coast-Sydney","Gold Coast","Sydney","Virgin Australia","Mar-21",174,172,2,138,151,34,21,2021,3,-28.1644,153.5051,-33.9399,151.1753
"Melbourne-Adelaide","Melbourne","Adelaide","Virgin Australia","Mar-21",90,90,0,78,78,12,12,2021,3,-37.669,144.841,-34.945,138.5306
"Melbourne-Brisbane","Melbourne","Brisbane","Virgin Australia","Mar-21",157,150,7,126,130,24,20,2021,3,-37.669,144.841,-27.3842,153.1175
"Melbourne-Cairns","Melbourne","Cairns","Virgin Australia","Mar-21",26,26,0,24,26,2,0,2021,3,-37.669,144.841,-16.8858,145.7553
"Melbourne-Canberra","Melbourne","Canberra","Virgin Australia","Mar-21",60,60,0,58,59,2,1,2021,3,-37.669,144.841,-35.3069,149.195
"Melbourne-Gold Coast","Melbourne","Gold Coast","Virgin Australia","Mar-21",103,103,0,82,86,21,17,2021,3,-37.669,144.841,-28.1644,153.5051
"Melbourne-Perth","Melbourne","Perth","Virgin Australia","Mar-21",46,46,0,40,44,6,2,2021,3,-37.669,144.841,-31.9403,115.9676
"Melbourne-Sydney","Melbourne","Sydney","Virgin Australia","Mar-21",371,367,4,339,329,28,38,2021,3,-37.669,144.841,-33.9399,151.1753
"Perth-Adelaide","Perth","Adelaide","Virgin Australia","Mar-21",41,40,1,36,34,4,6,2021,3,-31.9403,115.9676,-34.945,138.5306
"Perth-Brisbane","Perth","Brisbane","Virgin Australia","Mar-21",57,53,4,30,35,23,18,2021,3,-31.9403,115.9676,-27.3842,153.1175
"Perth-Darwin","Perth","Darwin","Virgin Australia","Mar-21",15,15,0,13,13,2,2,2021,3,-31.9403,115.9676,-12.4147,130.8767
"Perth-Melbourne","Perth","Melbourne","Virgin Australia","Mar-21",46,46,0,39,37,7,9,2021,3,-31.9403,115.9676,-37.669,144.841
"Perth-Sydney","Perth","Sydney","Virgin Australia","Mar-21",56,56,0,47,45,9,11,2021,3,-31.9403,115.9676,-33.9399,151.1753
"Sydney-Adelaide","Sydney","Adelaide","Virgin Australia","Mar-21",105,105,0,83,86,22,19,2021,3,-33.9399,151.1753,-34.945,138.5306
"Sydney-Brisbane","Sydney","Brisbane","Virgin Australia","Mar-21",304,287,17,235,244,52,43,2021,3,-33.9399,151.1753,-27.3842,153.1175
"Sydney-Cairns","Sydney","Cairns","Virgin Australia","Mar-21",41,40,1,35,35,5,5,2021,3,-33.9399,151.1753,-16.8858,145.7553
"Sydney-Gold Coast","Sydney","Gold Coast","Virgin Australia","Mar-21",174,173,1,143,139,30,34,2021,3,-33.9399,151.1753,-28.1644,153.5051
"Sydney-Melbourne","Sydney","Melbourne","Virgin Australia","Mar-21",371,368,3,295,327,73,41,2021,3,-33.9399,151.1753,-37.669,144.841
"Sydney-Perth","Sydney","Perth","Virgin Australia","Mar-21",56,56,0,44,47,12,9,2021,3,-33.9399,151.1753,-31.9403,115.9676
"Adelaide-Brisbane","Adelaide","Brisbane","Jetstar","Apr-21",32,31,1,24,25,7,6,2021,4,-34.945,138.5306,-27.3842,153.1175
"Adelaide-Gold Coast","Adelaide","Gold Coast","Jetstar","Apr-21",29,25,4,23,23,2,2,2021,4,-34.945,138.5306,-28.1644,153.5051
"Adelaide-Melbourne","Adelaide","Melbourne","Jetstar","Apr-21",118,117,1,100,103,17,14,2021,4,-34.945,138.5306,-37.669,144.841
"Adelaide-Perth","Adelaide","Perth","Jetstar","Apr-21",26,26,0,19,21,7,5,2021,4,-34.945,138.5306,-31.9403,115.9676
"Adelaide-Sydney","Adelaide","Sydney","Jetstar","Apr-21",130,129,1,118,118,11,11,2021,4,-34.945,138.5306,-33.9399,151.1753
"Brisbane-Adelaide","Brisbane","Adelaide","Jetstar","Apr-21",32,31,1,20,24,11,7,2021,4,-27.3842,153.1175,-34.945,138.5306
"Brisbane-Cairns","Brisbane","Cairns","Jetstar","Apr-21",106,103,3,83,82,20,21,2021,4,-27.3842,153.1175,-16.8858,145.7553
"Brisbane-Darwin","Brisbane","Darwin","Jetstar","Apr-21",27,27,0,24,26,3,1,2021,4,-27.3842,153.1175,-12.4147,130.8767
"Brisbane-Melbourne","Brisbane","Melbourne","Jetstar","Apr-21",202,147,55,121,133,26,14,2021,4,-27.3842,153.1175,-37.669,144.841
"Brisbane-Sydney","Brisbane","Sydney","Jetstar","Apr-21",203,182,21,161,167,21,15,2021,4,-27.3842,153.1175,-33.9399,151.1753
"Cairns-Brisbane","Cairns","Brisbane","Jetstar","Apr-21",106,103,3,74,80,29,23,2021,4,-16.8858,145.7553,-27.3842,153.1175
"Cairns-Melbourne","Cairns","Melbourne","Jetstar","Apr-21",140,138,2,114,119,24,19,2021,4,-16.8858,145.7553,-37.669,144.841
"Cairns-Sydney","Cairns","Sydney","Jetstar","Apr-21",114,108,6,88,92,20,16,2021,4,-16.8858,145.7553,-33.9399,151.1753
"Darwin-Brisbane","Darwin","Brisbane","Jetstar","Apr-21",27,27,0,22,16,5,11,2021,4,-12.4147,130.8767,-27.3842,153.1175
"Gold Coast-Adelaide","Gold Coast","Adelaide","Jetstar","Apr-21",29,25,4,22,24,3,1,2021,4,-28.1644,153.5051,-34.945,138.5306
"Gold Coast-Melbourne","Gold Coast","Melbourne","Jetstar","Apr-21",209,201,8,165,176,36,25,2021,4,-28.1644,153.5051,-37.669,144.841
"Gold Coast-Sydney","Gold Coast","Sydney","Jetstar","Apr-21",333,319,14,278,283,41,36,2021,4,-28.1644,153.5051,-33.9399,151.1753
"Melbourne-Adelaide","Melbourne","Adelaide","Jetstar","Apr-21",118,117,1,102,108,15,9,2021,4,-37.669,144.841,-34.945,138.5306
"Melbourne-Brisbane","Melbourne","Brisbane","Jetstar","Apr-21",203,151,52,123,125,28,26,2021,4,-37.669,144.841,-27.3842,153.1175
"Melbourne-Cairns","Melbourne","Cairns","Jetstar","Apr-21",139,138,1,105,115,33,23,2021,4,-37.669,144.841,-16.8858,145.7553
"Melbourne-Gold Coast","Melbourne","Gold Coast","Jetstar","Apr-21",209,201,8,161,160,40,41,2021,4,-37.669,144.841,-28.1644,153.5051
"Melbourne-Perth","Melbourne","Perth","Jetstar","Apr-21",60,58,2,49,52,9,6,2021,4,-37.669,144.841,-31.9403,115.9676
"Melbourne-Sydney","Melbourne","Sydney","Jetstar","Apr-21",447,396,51,334,353,62,43,2021,4,-37.669,144.841,-33.9399,151.1753
"Perth-Adelaide","Perth","Adelaide","Jetstar","Apr-21",26,26,0,18,20,8,6,2021,4,-31.9403,115.9676,-34.945,138.5306
"Perth-Melbourne","Perth","Melbourne","Jetstar","Apr-21",59,57,2,36,45,21,12,2021,4,-31.9403,115.9676,-37.669,144.841
"Perth-Sydney","Perth","Sydney","Jetstar","Apr-21",30,30,0,17,24,13,6,2021,4,-31.9403,115.9676,-33.9399,151.1753
"Sydney-Adelaide","Sydney","Adelaide","Jetstar","Apr-21",130,129,1,105,114,24,15,2021,4,-33.9399,151.1753,-34.945,138.5306
"Sydney-Brisbane","Sydney","Brisbane","Jetstar","Apr-21",205,183,22,157,162,26,21,2021,4,-33.9399,151.1753,-27.3842,153.1175
"Sydney-Cairns","Sydney","Cairns","Jetstar","Apr-21",114,109,5,87,99,22,10,2021,4,-33.9399,151.1753,-16.8858,145.7553
"Sydney-Gold Coast","Sydney","Gold Coast","Jetstar","Apr-21",333,319,14,284,287,35,32,2021,4,-33.9399,151.1753,-28.1644,153.5051
"Sydney-Melbourne","Sydney","Melbourne","Jetstar","Apr-21",447,395,52,333,353,62,42,2021,4,-33.9399,151.1753,-37.669,144.841
"Sydney-Perth","Sydney","Perth","Jetstar","Apr-21",30,30,0,24,26,6,4,2021,4,-33.9399,151.1753,-31.9403,115.9676
"Adelaide-Brisbane","Adelaide","Brisbane","Qantas","Apr-21",88,87,1,76,78,11,9,2021,4,-34.945,138.5306,-27.3842,153.1175
"Adelaide-Canberra","Adelaide","Canberra","Qantas","Apr-21",33,33,0,19,22,14,11,2021,4,-34.945,138.5306,-35.3069,149.195
"Adelaide-Melbourne","Adelaide","Melbourne","Qantas","Apr-21",186,183,3,156,163,27,20,2021,4,-34.945,138.5306,-37.669,144.841
"Adelaide-Perth","Adelaide","Perth","Qantas","Apr-21",87,86,1,67,69,19,17,2021,4,-34.945,138.5306,-31.9403,115.9676
"Adelaide-Sydney","Adelaide","Sydney","Qantas","Apr-21",178,177,1,156,142,21,35,2021,4,-34.945,138.5306,-33.9399,151.1753
"Brisbane-Adelaide","Brisbane","Adelaide","Qantas","Apr-21",88,87,1,75,77,12,10,2021,4,-27.3842,153.1175,-34.945,138.5306
"Brisbane-Cairns","Brisbane","Cairns","Qantas","Apr-21",119,119,0,110,107,9,12,2021,4,-27.3842,153.1175,-16.8858,145.7553
"Brisbane-Canberra","Brisbane","Canberra","Qantas","Apr-21",30,30,0,28,28,2,2,2021,4,-27.3842,153.1175,-35.3069,149.195
"Brisbane-Darwin","Brisbane","Darwin","Qantas","Apr-21",31,31,0,25,24,6,7,2021,4,-27.3842,153.1175,-12.4147,130.8767
"Brisbane-Melbourne","Brisbane","Melbourne","Qantas","Apr-21",269,265,4,246,255,19,10,2021,4,-27.3842,153.1175,-37.669,144.841
"Brisbane-Perth","Brisbane","Perth","Qantas","Apr-21",51,37,14,29,31,8,6,2021,4,-27.3842,153.1175,-31.9403,115.9676
"Brisbane-Sydney","Brisbane","Sydney","Qantas","Apr-21",384,375,9,331,341,44,34,2021,4,-27.3842,153.1175,-33.9399,151.1753
"Cairns-Brisbane","Cairns","Brisbane","Qantas","Apr-21",120,119,1,105,101,14,18,2021,4,-16.8858,145.7553,-27.3842,153.1175
"Cairns-Melbourne","Cairns","Melbourne","Qantas","Apr-21",41,41,0,38,35,3,6,2021,4,-16.8858,145.7553,-37.669,144.841
"Cairns-Sydney","Cairns","Sydney","Qantas","Apr-21",80,80,0,76,69,4,11,2021,4,-16.8858,145.7553,-33.9399,151.1753
"Canberra-Adelaide","Canberra","Adelaide","Qantas","Apr-21",33,33,0,19,24,14,9,2021,4,-35.3069,149.195,-34.945,138.5306
"Canberra-Brisbane","Canberra","Brisbane","Qantas","Apr-21",30,30,0,28,28,2,2,2021,4,-35.3069,149.195,-27.3842,153.1175
"Canberra-Melbourne","Canberra","Melbourne","Qantas","Apr-21",18,18,0,16,15,2,3,2021,4,-35.3069,149.195,-37.669,144.841
"Canberra-Sydney","Canberra","Sydney","Qantas","Apr-21",2,2,0,2,2,0,0,2021,4,-35.3069,149.195,-33.9399,151.1753
"Darwin-Brisbane","Darwin","Brisbane","Qantas","Apr-21",29,29,0,18,13,11,16,2021,4,-12.4147,130.8767,-27.3842,153.1175
"Darwin-Perth","Darwin","Perth","Qantas","Apr-21",30,30,0,21,26,9,4,2021,4,-12.4147,130.8767,-31.9403,115.9676
"Gold Coast-Melbourne","Gold Coast","Melbourne","Qantas","Apr-21",75,75,0,64,66,11,9,2021,4,-28.1644,153.5051,-37.669,144.841
"Gold Coast-Sydney","Gold Coast","Sydney","Qantas","Apr-21",108,108,0,90,98,18,10,2021,4,-28.1644,153.5051,-33.9399,151.1753
"Melbourne-Adelaide","Melbourne","Adelaide","Qantas","Apr-21",186,185,1,165,168,20,17,2021,4,-37.669,144.841,-34.945,138.5306
"Melbourne-Brisbane","Melbourne","Brisbane","Qantas","Apr-21",270,266,4,242,249,24,17,2021,4,-37.669,144.841,-27.3842,153.1175
"Melbourne-Cairns","Melbourne","Cairns","Qantas","Apr-21",41,41,0,37,40,4,1,2021,4,-37.669,144.841,-16.8858,145.7553
"Melbourne-Canberra","Melbourne","Canberra","Qantas","Apr-21",18,18,0,17,17,1,1,2021,4,-37.669,144.841,-35.3069,149.195
"Melbourne-Gold Coast","Melbourne","Gold Coast","Qantas","Apr-21",75,75,0,63,64,12,11,2021,4,-37.669,144.841,-28.1644,153.5051
"Melbourne-Perth","Melbourne","Perth","Qantas","Apr-21",114,114,0,78,78,36,36,2021,4,-37.669,144.841,-31.9403,115.9676
"Melbourne-Sydney","Melbourne","Sydney","Qantas","Apr-21",652,620,32,556,570,64,50,2021,4,-37.669,144.841,-33.9399,151.1753
"Perth-Adelaide","Perth","Adelaide","Qantas","Apr-21",87,85,2,74,72,11,13,2021,4,-31.9403,115.9676,-34.945,138.5306
"Perth-Brisbane","Perth","Brisbane","Qantas","Apr-21",51,38,13,32,12,6,26,2021,4,-31.9403,115.9676,-27.3842,153.1175
"Perth-Darwin","Perth","Darwin","Qantas","Apr-21",30,30,0,24,23,6,7,2021,4,-31.9403,115.9676,-12.4147,130.8767
"Perth-Melbourne","Perth","Melbourne","Qantas","Apr-21",114,113,1,83,80,30,33,2021,4,-31.9403,115.9676,-37.669,144.841
"Perth-Sydney","Perth","Sydney","Qantas","Apr-21",154,152,2,116,108,36,44,2021,4,-31.9403,115.9676,-33.9399,151.1753
"Sydney-Adelaide","Sydney","Adelaide","Qantas","Apr-21",178,176,2,149,152,27,24,2021,4,-33.9399,151.1753,-34.945,138.5306
"Sydney-Brisbane","Sydney","Brisbane","Qantas","Apr-21",390,378,12,314,324,64,54,2021,4,-33.9399,151.1753,-27.3842,153.1175
"Sydney-Cairns","Sydney","Cairns","Qantas","Apr-21",80,80,0,63,69,17,11,2021,4,-33.9399,151.1753,-16.8858,145.7553
"Sydney-Canberra","Sydney","Canberra","Qantas","Apr-21",2,2,0,2,2,0,0,2021,4,-33.9399,151.1753,-35.3069,149.195
"Sydney-Gold Coast","Sydney","Gold Coast","Qantas","Apr-21",108,108,0,88,92,20,16,2021,4,-33.9399,151.1753,-28.1644,153.5051
"Sydney-Melbourne","Sydney","Melbourne","Qantas","Apr-21",650,617,33,540,570,77,47,2021,4,-33.9399,151.1753,-37.669,144.841
"Sydney-Perth","Sydney","Perth","Qantas","Apr-21",151,149,2,96,100,53,49,2021,4,-33.9399,151.1753,-31.9403,115.9676
"Brisbane-Cairns","Brisbane","Cairns","QantasLink","Apr-21",1,1,0,1,1,0,0,2021,4,-27.3842,153.1175,-16.8858,145.7553
"Brisbane-Canberra","Brisbane","Canberra","QantasLink","Apr-21",123,119,4,111,112,8,7,2021,4,-27.3842,153.1175,-35.3069,149.195
"Cairns-Brisbane","Cairns","Brisbane","QantasLink","Apr-21",1,1,0,1,1,0,0,2021,4,-16.8858,145.7553,-27.3842,153.1175
"Canberra-Brisbane","Canberra","Brisbane","QantasLink","Apr-21",124,119,5,97,100,22,19,2021,4,-35.3069,149.195,-27.3842,153.1175
"Canberra-Melbourne","Canberra","Melbourne","QantasLink","Apr-21",166,161,5,118,118,43,43,2021,4,-35.3069,149.195,-37.669,144.841
"Canberra-Sydney","Canberra","Sydney","QantasLink","Apr-21",208,196,12,156,152,40,44,2021,4,-35.3069,149.195,-33.9399,151.1753
"Gold Coast-Melbourne","Gold Coast","Melbourne","QantasLink","Apr-21",3,3,0,0,0,3,3,2021,4,-28.1644,153.5051,-37.669,144.841
"Melbourne-Canberra","Melbourne","Canberra","QantasLink","Apr-21",166,160,6,104,106,56,54,2021,4,-37.669,144.841,-35.3069,149.195
"Melbourne-Gold Coast","Melbourne","Gold Coast","QantasLink","Apr-21",3,3,0,0,0,3,3,2021,4,-37.669,144.841,-28.1644,153.5051
"Sydney-Canberra","Sydney","Canberra","QantasLink","Apr-21",208,198,10,159,161,39,37,2021,4,-33.9399,151.1753,-35.3069,149.195
"Adelaide-Melbourne","Adelaide","Melbourne","Regional Express","Apr-21",59,59,0,50,49,9,10,2021,4,-34.945,138.5306,-37.669,144.841
"Canberra-Sydney","Canberra","Sydney","Regional Express","Apr-21",69,69,0,65,65,4,4,2021,4,-35.3069,149.195,-33.9399,151.1753
"Gold Coast-Melbourne","Gold Coast","Melbourne","Regional Express","Apr-21",60,60,0,31,28,29,32,2021,4,-28.1644,153.5051,-37.669,144.841
"Gold Coast-Sydney","Gold Coast","Sydney","Regional Express","Apr-21",59,59,0,51,52,8,7,2021,4,-28.1644,153.5051,-33.9399,151.1753
"Melbourne-Adelaide","Melbourne","Adelaide","Regional Express","Apr-21",60,60,0,38,40,22,20,2021,4,-37.669,144.841,-34.945,138.5306
"Melbourne-Gold Coast","Melbourne","Gold Coast","Regional Express","Apr-21",60,60,0,29,31,31,29,2021,4,-37.669,144.841,-28.1644,153.5051
"Melbourne-Sydney","Melbourne","Sydney","Regional Express","Apr-21",185,175,10,162,164,13,11,2021,4,-37.669,144.841,-33.9399,151.1753
"Sydney-Canberra","Sydney","Canberra","Regional Express","Apr-21",70,70,0,64,59,6,11,2021,4,-33.9399,151.1753,-35.3069,149.195
"Sydney-Gold Coast","Sydney","Gold Coast","Regional Express","Apr-21",59,59,0,56,55,3,4,2021,4,-33.9399,151.1753,-28.1644,153.5051
"Sydney-Melbourne","Sydney","Melbourne","Regional Express","Apr-21",185,176,9,162,159,14,17,2021,4,-33.9399,151.1753,-37.669,144.841
"Adelaide-Brisbane","Adelaide","Brisbane","Virgin Australia","Apr-21",84,73,11,62,64,11,9,2021,4,-34.945,138.5306,-27.3842,153.1175
"Adelaide-Canberra","Adelaide","Canberra","Virgin Australia","Apr-21",16,16,0,13,15,3,1,2021,4,-34.945,138.5306,-35.3069,149.195
"Adelaide-Gold Coast","Adelaide","Gold Coast","Virgin Australia","Apr-21",38,37,1,35,33,2,4,2021,4,-34.945,138.5306,-28.1644,153.5051
"Adelaide-Melbourne","Adelaide","Melbourne","Virgin Australia","Apr-21",156,155,1,135,139,20,16,2021,4,-34.945,138.5306,-37.669,144.841
"Adelaide-Perth","Adelaide","Perth","Virgin Australia","Apr-21",42,42,0,36,39,6,3,2021,4,-34.945,138.5306,-31.9403,115.9676
"Adelaide-Sydney","Adelaide","Sydney","Virgin Australia","Apr-21",106,105,1,87,91,18,14,2021,4,-34.945,138.5306,-33.9399,151.1753
"Brisbane-Adelaide","Brisbane","Adelaide","Virgin Australia","Apr-21",85,74,11,63,68,11,6,2021,4,-27.3842,153.1175,-34.945,138.5306
"Brisbane-Cairns","Brisbane","Cairns","Virgin Australia","Apr-21",126,121,5,105,104,16,17,2021,4,-27.3842,153.1175,-16.8858,145.7553
"Brisbane-Canberra","Brisbane","Canberra","Virgin Australia","Apr-21",63,56,7,53,55,3,1,2021,4,-27.3842,153.1175,-35.3069,149.195
"Brisbane-Darwin","Brisbane","Darwin","Virgin Australia","Apr-21",34,34,0,32,33,2,1,2021,4,-27.3842,153.1175,-12.4147,130.8767
"Brisbane-Melbourne","Brisbane","Melbourne","Virgin Australia","Apr-21",195,168,27,121,136,47,32,2021,4,-27.3842,153.1175,-37.669,144.841
"Brisbane-Perth","Brisbane","Perth","Virgin Australia","Apr-21",36,25,11,21,24,4,1,2021,4,-27.3842,153.1175,-31.9403,115.9676
"Brisbane-Sydney","Brisbane","Sydney","Virgin Australia","Apr-21",251,233,18,195,207,38,26,2021,4,-27.3842,153.1175,-33.9399,151.1753
"Cairns-Brisbane","Cairns","Brisbane","Virgin Australia","Apr-21",126,121,5,103,112,18,9,2021,4,-16.8858,145.7553,-27.3842,153.1175
"Cairns-Melbourne","Cairns","Melbourne","Virgin Australia","Apr-21",41,39,2,34,37,5,2,2021,4,-16.8858,145.7553,-37.669,144.841
"Cairns-Sydney","Cairns","Sydney","Virgin Australia","Apr-21",59,55,4,51,51,4,4,2021,4,-16.8858,145.7553,-33.9399,151.1753
"Canberra-Adelaide","Canberra","Adelaide","Virgin Australia","Apr-21",16,16,0,15,16,1,0,2021,4,-35.3069,149.195,-34.945,138.5306
"Canberra-Brisbane","Canberra","Brisbane","Virgin Australia","Apr-21",63,56,7,52,52,4,4,2021,4,-35.3069,149.195,-27.3842,153.1175
"Canberra-Melbourne","Canberra","Melbourne","Virgin Australia","Apr-21",69,69,0,57,60,12,9,2021,4,-35.3069,149.195,-37.669,144.841
"Darwin-Brisbane","Darwin","Brisbane","Virgin Australia","Apr-21",33,33,0,24,30,9,3,2021,4,-12.4147,130.8767,-27.3842,153.1175
"Darwin-Perth","Darwin","Perth","Virgin Australia","Apr-21",14,14,0,8,10,6,4,2021,4,-12.4147,130.8767,-31.9403,115.9676
"Gold Coast-Adelaide","Gold Coast","Adelaide","Virgin Australia","Apr-21",38,37,1,32,34,5,3,2021,4,-28.1644,153.5051,-34.945,138.5306
"Gold Coast-Melbourne","Gold Coast","Melbourne","Virgin Australia","Apr-21",208,204,4,146,181,58,23,2021,4,-28.1644,153.5051,-37.669,144.841
"Gold Coast-Sydney","Gold Coast","Sydney","Virgin Australia","Apr-21",229,222,7,157,173,65,49,2021,4,-28.1644,153.5051,-33.9399,151.1753
"Melbourne-Adelaide","Melbourne","Adelaide","Virgin Australia","Apr-21",155,155,0,126,132,29,23,2021,4,-37.669,144.841,-34.945,138.5306
"Melbourne-Brisbane","Melbourne","Brisbane","Virgin Australia","Apr-21",197,168,29,129,131,39,37,2021,4,-37.669,144.841,-27.3842,153.1175
"Melbourne-Cairns","Melbourne","Cairns","Virgin Australia","Apr-21",41,39,2,35,34,4,5,2021,4,-37.669,144.841,-16.8858,145.7553
"Melbourne-Canberra","Melbourne","Canberra","Virgin Australia","Apr-21",69,69,0,55,58,14,11,2021,4,-37.669,144.841,-35.3069,149.195
"Melbourne-Gold Coast","Melbourne","Gold Coast","Virgin Australia","Apr-21",208,204,4,157,169,47,35,2021,4,-37.669,144.841,-28.1644,153.5051
"Melbourne-Perth","Melbourne","Perth","Virgin Australia","Apr-21",110,109,1,79,93,30,16,2021,4,-37.669,144.841,-31.9403,115.9676
"Melbourne-Sydney","Melbourne","Sydney","Virgin Australia","Apr-21",457,448,9,358,370,90,78,2021,4,-37.669,144.841,-33.9399,151.1753
"Perth-Adelaide","Perth","Adelaide","Virgin Australia","Apr-21",42,42,0,39,37,3,5,2021,4,-31.9403,115.9676,-34.945,138.5306
"Perth-Brisbane","Perth","Brisbane","Virgin Australia","Apr-21",42,26,16,22,21,4,5,2021,4,-31.9403,115.9676,-27.3842,153.1175
"Perth-Darwin","Perth","Darwin","Virgin Australia","Apr-21",14,14,0,11,11,3,3,2021,4,-31.9403,115.9676,-12.4147,130.8767
"Perth-Melbourne","Perth","Melbourne","Virgin Australia","Apr-21",111,109,2,84,89,25,20,2021,4,-31.9403,115.9676,-37.669,144.841
"Perth-Sydney","Perth","Sydney","Virgin Australia","Apr-21",71,71,0,58,66,13,5,2021,4,-31.9403,115.9676,-33.9399,151.1753
"Sydney-Adelaide","Sydney","Adelaide","Virgin Australia","Apr-21",106,105,1,80,85,25,20,2021,4,-33.9399,151.1753,-34.945,138.5306
"Sydney-Brisbane","Sydney","Brisbane","Virgin Australia","Apr-21",249,231,18,195,193,36,38,2021,4,-33.9399,151.1753,-27.3842,153.1175
"Sydney-Cairns","Sydney","Cairns","Virgin Australia","Apr-21",59,55,4,49,52,6,3,2021,4,-33.9399,151.1753,-16.8858,145.7553
"Sydney-Gold Coast","Sydney","Gold Coast","Virgin Australia","Apr-21",229,222,7,171,165,51,57,2021,4,-33.9399,151.1753,-28.1644,153.5051
"Sydney-Melbourne","Sydney","Melbourne","Virgin Australia","Apr-21",457,448,9,332,374,116,74,2021,4,-33.9399,151.1753,-37.669,144.841
"Sydney-Perth","Sydney","Perth","Virgin Australia","Apr-21",71,71,0,41,58,30,13,2021,4,-33.9399,151.1753,-31.9403,115.9676
"Adelaide-Brisbane","Adelaide","Brisbane","Jetstar","May-21",27,27,0,21,23,6,4,2021,5,-34.945,138.5306,-27.3842,153.1175
"Adelaide-Gold Coast","Adelaide","Gold Coast","Jetstar","May-21",27,27,0,23,24,4,3,2021,5,-34.945,138.5306,-28.1644,153.5051
"Adelaide-Melbourne","Adelaide","Melbourne","Jetstar","May-21",110,93,17,81,83,12,10,2021,5,-34.945,138.5306,-37.669,144.841
"Adelaide-Perth","Adelaide","Perth","Jetstar","May-21",26,25,1,24,24,1,1,2021,5,-34.945,138.5306,-31.9403,115.9676
"Adelaide-Sydney","Adelaide","Sydney","Jetstar","May-21",99,92,7,83,80,9,12,2021,5,-34.945,138.5306,-33.9399,151.1753
"Brisbane-Adelaide","Brisbane","Adelaide","Jetstar","May-21",27,27,0,17,22,10,5,2021,5,-27.3842,153.1175,-34.945,138.5306
"Brisbane-Cairns","Brisbane","Cairns","Jetstar","May-21",80,80,0,66,67,14,13,2021,5,-27.3842,153.1175,-16.8858,145.7553
"Brisbane-Darwin","Brisbane","Darwin","Jetstar","May-21",18,18,0,14,7,4,11,2021,5,-27.3842,153.1175,-12.4147,130.8767
"Brisbane-Melbourne","Brisbane","Melbourne","Jetstar","May-21",180,160,20,130,140,30,20,2021,5,-27.3842,153.1175,-37.669,144.841
"Brisbane-Sydney","Brisbane","Sydney","Jetstar","May-21",166,159,7,134,144,25,15,2021,5,-27.3842,153.1175,-33.9399,151.1753
"Cairns-Brisbane","Cairns","Brisbane","Jetstar","May-21",80,80,0,70,71,10,9,2021,5,-16.8858,145.7553,-27.3842,153.1175
"Cairns-Melbourne","Cairns","Melbourne","Jetstar","May-21",116,110,6,89,95,21,15,2021,5,-16.8858,145.7553,-37.669,144.841
"Cairns-Sydney","Cairns","Sydney","Jetstar","May-21",85,81,4,67,71,14,10,2021,5,-16.8858,145.7553,-33.9399,151.1753
"Darwin-Brisbane","Darwin","Brisbane","Jetstar","May-21",18,18,0,5,6,13,12,2021,5,-12.4147,130.8767,-27.3842,153.1175
"Gold Coast-Adelaide","Gold Coast","Adelaide","Jetstar","May-21",27,27,0,22,23,5,4,2021,5,-28.1644,153.5051,-34.945,138.5306
"Gold Coast-Melbourne","Gold Coast","Melbourne","Jetstar","May-21",217,197,20,166,175,31,22,2021,5,-28.1644,153.5051,-37.669,144.841
"Gold Coast-Sydney","Gold Coast","Sydney","Jetstar","May-21",261,234,27,202,204,32,30,2021,5,-28.1644,153.5051,-33.9399,151.1753
"Melbourne-Adelaide","Melbourne","Adelaide","Jetstar","May-21",110,93,17,81,84,12,9,2021,5,-37.669,144.841,-34.945,138.5306
"Melbourne-Brisbane","Melbourne","Brisbane","Jetstar","May-21",180,160,20,136,130,24,30,2021,5,-37.669,144.841,-27.3842,153.1175
"Melbourne-Cairns","Melbourne","Cairns","Jetstar","May-21",116,110,6,82,93,28,17,2021,5,-37.669,144.841,-16.8858,145.7553
"Melbourne-Gold Coast","Melbourne","Gold Coast","Jetstar","May-21",217,197,20,161,159,36,38,2021,5,-37.669,144.841,-28.1644,153.5051
"Melbourne-Perth","Melbourne","Perth","Jetstar","May-21",62,51,11,43,41,8,10,2021,5,-37.669,144.841,-31.9403,115.9676
"Melbourne-Sydney","Melbourne","Sydney","Jetstar","May-21",332,257,75,220,224,37,33,2021,5,-37.669,144.841,-33.9399,151.1753
"Perth-Adelaide","Perth","Adelaide","Jetstar","May-21",26,25,1,18,21,7,4,2021,5,-31.9403,115.9676,-34.945,138.5306
"Perth-Melbourne","Perth","Melbourne","Jetstar","May-21",62,50,12,34,35,16,15,2021,5,-31.9403,115.9676,-37.669,144.841
"Perth-Sydney","Perth","Sydney","Jetstar","May-21",49,47,2,17,21,30,26,2021,5,-31.9403,115.9676,-33.9399,151.1753
"Sydney-Adelaide","Sydney","Adelaide","Jetstar","May-21",99,92,7,83,84,9,8,2021,5,-33.9399,151.1753,-34.945,138.5306
"Sydney-Brisbane","Sydney","Brisbane","Jetstar","May-21",165,159,6,134,138,25,21,2021,5,-33.9399,151.1753,-27.3842,153.1175
