"Route","Departing_Port","Arriving_Port","Airline","Month","Sectors_Scheduled","Sectors_Flown","Cancellations","Departures_On_Time","Arrivals_On_Time","Departures_Delayed","Arrivals_Delayed","Year","Month_Num","Departing_Latitude","Departing_Longitude","Arriving_Latitude","Arriving_Longitude"
"Adelaide-Sydney","Adelaide","Sydney","Qantas","Jan-20",257,252,5,206,205,46,47,2020,1,-34.945,138.5306,-33.9399,151.1753
"Brisbane-Adelaide","Brisbane","Adelaide","Qantas","Jan-20",108,106,2,87,94,19,12,2020,1,-27.3842,153.1175,-34.945,138.5306
"Brisbane-Cairns","Brisbane","Cairns","Qantas","Jan-20",21,21,0,18,18,3,3,2020,1,-27.3842,153.1175,-16.8858,145.7553
"Brisbane-Darwin","Brisbane","Darwin","Qantas","Jan-20",30,30,0,27,25,3,5,2020,1,-27.3842,153.1175,-12.4147,130.8767
"Brisbane-Melbourne","Brisbane","Melbourne","Qantas","Jan-20",391,382,9,281,270,101,112,2020,1,-27.3842,153.1175,-37.669,144.841
"Brisbane-Perth","Brisbane","Perth","Qantas","Jan-20",145,144,1,96,111,48,33,2020,1,-27.3842,153.1175,-31.9403,115.9676
"Brisbane-Sydney","Brisbane","Sydney","Qantas","Jan-20",503,490,13,390,367,100,123,2020,1,-27.3842,153.1175,-33.9399,151.1753
"Cairns-Brisbane","Cairns","Brisbane","Qantas","Jan-20",21,21,0,18,18,3,3,2020,1,-16.8858,145.7553,-27.3842,153.1175
"Cairns-Melbourne","Cairns","Melbourne","Qantas","Jan-20",36,36,0,20,22,16,14,2020,1,-16.8858,145.7553,-37.669,144.841
"Cairns-Sydney","Cairns","Sydney","Qantas","Jan-20",70,70,0,49,48,21,22,2020,1,-16.8858,145.7553,-33.9399,151.1753
"Canberra-Adelaide","Canberra","Adelaide","Qantas","Jan-20",31,29,2,27,27,2,2,2020,1,-35.3069,149.195,-34.945,138.5306
"Canberra-Melbourne","Canberra","Melbourne","Qantas","Jan-20",172,159,13,127,123,32,36,2020,1,-35.3069,149.195,-37.669,144.841
"Darwin-Brisbane","Darwin","Brisbane","Qantas","Jan-20",31,31,0,23,20,8,11,2020,1,-12.4147,130.8767,-27.3842,153.1175
"Darwin-Melbourne","Darwin","Melbourne","Qantas","Jan-20",26,26,0,21,17,5,9,2020,1,-12.4147,130.8767,-37.669,144.841
"Darwin-Perth","Darwin","Perth","Qantas","Jan-20",31,31,0,30,30,1,1,2020,1,-12.4147,130.8767,-31.9403,115.9676
"Darwin-Sydney","Darwin","Sydney","Qantas","Jan-20",31,31,0,26,25,5,6,2020,1,-12.4147,130.8767,-33.9399,151.1753
"Gold Coast-Melbourne","Gold Coast","Melbourne","Qantas","Jan-20",42,42,0,14,18,28,24,2020,1,-28.1644,153.5051,-37.669,144.841
"Gold Coast-Sydney","Gold Coast","Sydney","Qantas","Jan-20",158,157,1,91,107,66,50,2020,1,-28.1644,153.5051,-33.9399,151.1753
"Melbourne-Adelaide","Melbourne","Adelaide","Qantas","Jan-20",255,245,10,193,176,52,69,2020,1,-37.669,144.841,-34.945,138.5306
"Melbourne-Brisbane","Melbourne","Brisbane","Qantas","Jan-20",394,380,14,290,260,90,120,2020,1,-37.669,144.841,-27.3842,153.1175
"Melbourne-Cairns","Melbourne","Cairns","Qantas","Jan-20",37,37,0,28,27,9,10,2020,1,-37.669,144.841,-16.8858,145.7553
"Melbourne-Canberra","Melbourne","Canberra","Qantas","Jan-20",172,159,13,123,113,36,46,2020,1,-37.669,144.841,-35.3069,149.195
"Melbourne-Darwin","Melbourne","Darwin","Qantas","Jan-20",26,26,0,24,25,2,1,2020,1,-37.669,144.841,-12.4147,130.8767
"Melbourne-Gold Coast","Melbourne","Gold Coast","Qantas","Jan-20",43,43,0,36,30,7,13,2020,1,-37.669,144.841,-28.1644,153.5051
"Melbourne-Perth","Melbourne","Perth","Qantas","Jan-20",211,206,5,135,136,71,70,2020,1,-37.669,144.841,-31.9403,115.9676
"Melbourne-Sydney","Melbourne","Sydney","Qantas","Jan-20",916,847,69,676,565,171,282,2020,1,-37.669,144.841,-33.9399,151.1753
"Perth-Adelaide","Perth","Adelaide","Qantas","Jan-20",108,108,0,84,88,24,20,2020,1,-31.9403,115.9676,-34.945,138.5306
"Perth-Brisbane","Perth","Brisbane","Qantas","Jan-20",146,145,1,121,119,24,26,2020,1,-31.9403,115.9676,-27.3842,153.1175
"Perth-Darwin","Perth","Darwin","Qantas","Jan-20",31,31,0,31,31,0,0,2020,1,-31.9403,115.9676,-12.4147,130.8767
"Perth-Melbourne","Perth","Melbourne","Qantas","Jan-20",211,207,4,141,158,66,49,2020,1,-31.9403,115.9676,-37.669,144.841
"Perth-Sydney","Perth","Sydney","Qantas","Jan-20",196,194,2,137,142,57,52,2020,1,-31.9403,115.9676,-33.9399,151.1753
"Sydney-Adelaide","Sydney","Adelaide","Qantas","Jan-20",258,254,4,197,208,57,46,2020,1,-33.9399,151.1753,-34.945,138.5306
"Sydney-Brisbane","Sydney","Brisbane","Qantas","Jan-20",500,494,6,378,379,116,115,2020,1,-33.9399,151.1753,-27.3842,153.1175
"Sydney-Cairns","Sydney","Cairns","Qantas","Jan-20",70,70,0,54,57,16,13,2020,1,-33.9399,151.1753,-16.8858,145.7553
"Sydney-Darwin","Sydney","Darwin","Qantas","Jan-20",31,31,0,18,26,13,5,2020,1,-33.9399,151.1753,-12.4147,130.8767
"Sydney-Gold Coast","Sydney","Gold Coast","Qantas","Jan-20",155,154,1,120,123,34,31,2020,1,-33.9399,151.1753,-28.1644,153.5051
"Sydney-Melbourne","Sydney","Melbourne","Qantas","Jan-20",914,847,67,628,576,219,271,2020,1,-33.9399,151.1753,-37.669,144.841
"Sydney-Perth","Sydney","Perth","Qantas","Jan-20",194,193,1,106,135,87,58,2020,1,-33.9399,151.1753,-31.9403,115.9676
"Adelaide-Canberra","Adelaide","Canberra","QantasLink","Jan-20",4,4,0,4,4,0,0,2020,1,-34.945,138.5306,-35.3069,149.195
"Brisbane-Cairns","Brisbane","Cairns","QantasLink","Jan-20",134,133,1,117,120,16,13,2020,1,-27.3842,153.1175,-16.8858,145.7553
"Brisbane-Canberra","Brisbane","Canberra","QantasLink","Jan-20",153,145,8,114,116,31,29,2020,1,-27.3842,153.1175,-35.3069,149.195
"Brisbane-Sydney","Brisbane","Sydney","QantasLink","Jan-20",5,5,0,3,2,2,3,2020,1,-27.3842,153.1175,-33.9399,151.1753
"Cairns-Brisbane","Cairns","Brisbane","QantasLink","Jan-20",134,132,2,112,109,20,23,2020,1,-16.8858,145.7553,-27.3842,153.1175
"Canberra-Adelaide","Canberra","Adelaide","QantasLink","Jan-20",4,4,0,2,3,2,1,2020,1,-35.3069,149.195,-34.945,138.5306
"Canberra-Brisbane","Canberra","Brisbane","QantasLink","Jan-20",154,144,10,117,117,27,27,2020,1,-35.3069,149.195,-27.3842,153.1175
"Canberra-Melbourne","Canberra","Melbourne","QantasLink","Jan-20",34,32,2,19,18,13,14,2020,1,-35.3069,149.195,-37.669,144.841
"Canberra-Sydney","Canberra","Sydney","QantasLink","Jan-20",321,292,29,208,197,84,95,2020,1,-35.3069,149.195,-33.9399,151.1753
"Gold Coast-Sydney","Gold Coast","Sydney","QantasLink","Jan-20",39,39,0,26,26,13,13,2020,1,-28.1644,153.5051,-33.9399,151.1753
"Melbourne-Canberra","Melbourne","Canberra","QantasLink","Jan-20",33,29,4,21,21,8,8,2020,1,-37.669,144.841,-35.3069,149.195
"Sydney-Brisbane","Sydney","Brisbane","QantasLink","Jan-20",4,4,0,3,3,1,1,2020,1,-33.9399,151.1753,-27.3842,153.1175
