Route,Departing_Port,Arriving_Port,Airline,Month,Sectors_Scheduled,Sectors_Flown,Cancellations,Departures_On_Time,Arrivals_On_Time,Departures_Delayed,Arrivals_Delayed,Year,Month_Num,Departing_Latitude,Departing_Longitude,Arriving_Latitude,Arriving_Longitude,Reliability
Gold Coast-Melbourne,Gold Coast,Melbourne,Jetstar,Jan-20,182,176,6,83,105,93,71,2020,1,-28.1644,153.5051,-37.669,144.841,59.65909090909091
Gold Coast-Sydney,Gold Coast,Sydney,Jetstar,Jan-20,289,278,11,166,190,112,88,2020,1,-28.1644,153.5051,-33.9399,151.1753,68.34532374100719
Melbourne-Adelaide,Melbourne,Adelaide,Jetstar,Jan-20,119,109,10,61,61,48,48,2020,1,-37.669,144.841,-34.945,138.5306,55.96330275229357
Melbourne-Brisbane,Melbourne,Brisbane,Jetstar,Jan-20,180,171,9,103,108,68,63,2020,1,-37.669,144.841,-27.3842,153.1175,63.1578947368421
Melbourne-Cairns,Melbourne,Cairns,Jetstar,Jan-20,60,60,0,34,35,26,25,2020,1,-37.669,144.841,-16.8858,145.7553,58.333333333333336
Melbourne-Darwin,Melbourne,Darwin,Jetstar,Jan-20,26,26,0,17,20,9,6,2020,1,-37.669,144.841,-12.4147,130.8767,76.92307692307693
Melbourne-Gold Coast,Melbourne,Gold Coast,Jetstar,Jan-20,180,176,4,103,95,73,81,2020,1,-37.669,144.841,-28.1644,153.5051,53.97727272727273
Melbourne-Perth,Melbourne,Perth,Jetstar,Jan-20,56,53,3,36,43,17,10,2020,1,-37.669,144.841,-31.9403,115.9676,81.13207547169812
Melbourne-Sydney,Melbourne,Sydney,Jetstar,Jan-20,460,437,23,278,252,159,185,2020,1,-37.669,144.841,-33.9399,151.1753,57.66590389016019
Perth-Adelaide,Perth,Adelaide,Jetstar,Jan-20,21,20,1,12,15,8,5,2020,1,-31.9403,115.9676,-34.945,138.5306,75.0
Perth-Melbourne,Perth,Melbourne,Jetstar,Jan-20,57,53,4,38,44,15,9,2020,1,-31.9403,115.9676,-37.669,144.841,83.01886792452831
