Route,Departing_Port,Arriving_Port,Airline,Month,Sectors_Scheduled,Sectors_Flown,Cancellations,Departures_On_Time,Arrivals_On_Time,Departures_Delayed,Arrivals_Delayed,Year,Month_Num,Departing_Latitude,Departing_Longitude,Arriving_Latitude,Arriving_Longitude,Reliability
Sydney-Melbourne,Sydney,Melbourne,Virgin Australia,Apr-21,457,448,9,332,374,116,74,2021,4,-33.9399,151.1753,-37.669,144.841,83.48214285714286
Sydney-Perth,Sydney,Perth,Virgin Australia,Apr-21,71,71,0,41,58,30,13,2021,4,-33.9399,151.1753,-31.9403,115.9676,81.69014084507043
Adelaide-Brisbane,Adelaide,Brisbane,All Airlines,Apr-21,204,191,13,162,167,29,24,2021,4,-34.945,138.5306,-27.3842,153.1175,87.43455497382199
Adelaide-Canberra,Adelaide,Canberra,All Airlines,Apr-21,49,49,0,32,37,17,12,2021,4,-34.945,138.5306,-35.3069,149.195,75.51020408163265
Adelaide-Gold Coast,Adelaide,Gold Coast,All Airlines,Apr-21,67,62,5,58,56,4,6,2021,4,-34.945,138.5306,-28.1644,153.5051,90.32258064516128
Adelaide-Melbourne,Adelaide,Melbourne,All Airlines,Apr-21,519,514,5,441,454,73,60,2021,4,-34.945,138.5306,-37.669,144.841,88.32684824902724
Adelaide-Perth,Adelaide,Perth,All Airlines,Apr-21,155,154,1,122,129,32,25,2021,4,-34.945,138.5306,-31.9403,115.9676,83.76623376623377
Adelaide-Sydney,Adelaide,Sydney,All Airlines,Apr-21,414,411,3,361,351,50,60,2021,4,-34.945,138.5306,-33.9399,151.1753,85.40145985401459
Brisbane-Adelaide,Brisbane,Adelaide,All Airlines,Apr-21,205,192,13,158,169,34,23,2021,4,-27.3842,153.1175,-34.945,138.5306,88.02083333333334
Brisbane-Cairns,Brisbane,Cairns,All Airlines,Apr-21,352,344,8,299,294,45,50,2021,4,-27.3842,153.1175,-16.8858,145.7553,85.46511627906976
Brisbane-Canberra,Brisbane,Canberra,All Airlines,Apr-21,216,205,11,192,195,13,10,2021,4,-27.3842,153.1175,-35.3069,149.195,95.1219512195122
Brisbane-Darwin,Brisbane,Darwin,All Airlines,Apr-21,92,92,0,81,83,11,9,2021,4,-27.3842,153.1175,-12.4147,130.8767,90.21739130434783
Brisbane-Melbourne,Brisbane,Melbourne,All Airlines,Apr-21,666,580,86,488,524,92,56,2021,4,-27.3842,153.1175,-37.669,144.841,90.3448275862069
Brisbane-Perth,Brisbane,Perth,All Airlines,Apr-21,87,62,25,50,55,12,7,2021,4,-27.3842,153.1175,-31.9403,115.9676,88.70967741935483
Brisbane-Sydney,Brisbane,Sydney,All Airlines,Apr-21,838,790,48,687,715,103,75,2021,4,-27.3842,153.1175,-33.9399,151.1753,90.50632911392405
Cairns-Brisbane,Cairns,Brisbane,All Airlines,Apr-21,353,344,9,283,294,61,50,2021,4,-16.8858,145.7553,-27.3842,153.1175,85.46511627906976
Cairns-Melbourne,Cairns,Melbourne,All Airlines,Apr-21,222,218,4,186,191,32,27,2021,4,-16.8858,145.7553,-37.669,144.841,87.61467889908256
Cairns-Sydney,Cairns,Sydney,All Airlines,Apr-21,253,243,10,215,212,28,31,2021,4,-16.8858,145.7553,-33.9399,151.1753,87.24279835390946
Canberra-Adelaide,Canberra,Adelaide,All Airlines,Apr-21,49,49,0,34,40,15,9,2021,4,-35.3069,149.195,-34.945,138.5306,81.63265306122449
Canberra-Brisbane,Canberra,Brisbane,All Airlines,Apr-21,217,205,12,177,180,28,25,2021,4,-35.3069,149.195,-27.3842,153.1175,87.8048780487805
Canberra-Melbourne,Canberra,Melbourne,All Airlines,Apr-21,253,248,5,191,193,57,55,2021,4,-35.3069,149.195,-37.669,144.841,77.82258064516128
Canberra-Sydney,Canberra,Sydney,All Airlines,Apr-21,279,267,12,223,219,44,48,2021,4,-35.3069,149.195,-33.9399,151.1753,82.02247191011236
Darwin-Brisbane,Darwin,Brisbane,All Airlines,Apr-21,89,89,0,64,59,25,30,2021,4,-12.4147,130.8767,-27.3842,153.1175,66.29213483146067
Darwin-Perth,Darwin,Perth,All Airlines,Apr-21,44,44,0,29,36,15,8,2021,4,-12.4147,130.8767,-31.9403,115.9676,81.81818181818183
Gold Coast-Adelaide,Gold Coast,Adelaide,All Airlines,Apr-21,67,62,5,54,58,8,4,2021,4,-28.1644,153.5051,-34.945,138.5306,93.54838709677419
Gold Coast-Melbourne,Gold Coast,Melbourne,All Airlines,Apr-21,555,543,12,406,451,137,92,2021,4,-28.1644,153.5051,-37.669,144.841,83.05709023941068
Gold Coast-Sydney,Gold Coast,Sydney,All Airlines,Apr-21,729,708,21,576,606,132,102,2021,4,-28.1644,153.5051,-33.9399,151.1753,85.59322033898306
Melbourne-Adelaide,Melbourne,Adelaide,All Airlines,Apr-21,519,517,2,431,448,86,69,2021,4,-37.669,144.841,-34.945,138.5306,86.65377176015474
Melbourne-Brisbane,Melbourne,Brisbane,All Airlines,Apr-21,670,585,85,494,505,91,80,2021,4,-37.669,144.841,-27.3842,153.1175,86.32478632478633
Melbourne-Cairns,Melbourne,Cairns,All Airlines,Apr-21,221,218,3,177,189,41,29,2021,4,-37.669,144.841,-16.8858,145.7553,86.69724770642202
Melbourne-Canberra,Melbourne,Canberra,All Airlines,Apr-21,253,247,6,176,181,71,66,2021,4,-37.669,144.841,-35.3069,149.195,73.27935222672065
Melbourne-Gold Coast,Melbourne,Gold Coast,All Airlines,Apr-21,555,543,12,410,424,133,119,2021,4,-37.669,144.841,-28.1644,153.5051,78.08471454880295
Melbourne-Perth,Melbourne,Perth,All Airlines,Apr-21,284,281,3,206,223,75,58,2021,4,-37.669,144.841,-31.9403,115.9676,79.35943060498221
Melbourne-Sydney,Melbourne,Sydney,All Airlines,Apr-21,1741,1639,102,1410,1457,229,182,2021,4,-37.669,144.841,-33.9399,151.1753,88.89566809029897
Perth-Adelaide,Perth,Adelaide,All Airlines,Apr-21,155,153,2,131,129,22,24,2021,4,-31.9403,115.9676,-34.945,138.5306,84.31372549019608
Perth-Brisbane,Perth,Brisbane,All Airlines,Apr-21,93,64,29,54,33,10,31,2021,4,-31.9403,115.9676,-27.3842,153.1175,51.5625
Perth-Darwin,Perth,Darwin,All Airlines,Apr-21,44,44,0,35,34,9,10,2021,4,-31.9403,115.9676,-12.4147,130.8767,77.27272727272727
Perth-Melbourne,Perth,Melbourne,All Airlines,Apr-21,284,279,5,203,214,76,65,2021,4,-31.9403,115.9676,-37.669,144.841,76.70250896057348
Perth-Sydney,Perth,Sydney,All Airlines,Apr-21,255,253,2,191,198,62,55,2021,4,-31.9403,115.9676,-33.9399,151.1753,78.26086956521739
Sydney-Adelaide,Sydney,Adelaide,All Airlines,Apr-21,414,410,4,334,351,76,59,2021,4,-33.9399,151.1753,-34.945,138.5306,85.60975609756098
Sydney-Brisbane,Sydney,Brisbane,All Airlines,Apr-21,844,792,52,666,679,126,113,2021,4,-33.9399,151.1753,-27.3842,153.1175,85.73232323232324
Sydney-Cairns,Sydney,Cairns,All Airlines,Apr-21,253,244,9,199,220,45,24,2021,4,-33.9399,151.1753,-16.8858,145.7553,90.1639344262295
Sydney-Canberra,Sydney,Canberra,All Airlines,Apr-21,280,270,10,225,222,45,48,2021,4,-33.9399,151.1753,-35.3069,149.195,82.22222222222221
Sydney-Gold Coast,Sydney,Gold Coast,All Airlines,Apr-21,729,708,21,599,599,109,109,2021,4,-33.9399,151.1753,-28.1644,153.5051,84.6045197740113
Sydney-Melbourne,Sydney,Melbourne,All Airlines,Apr-21,1739,1636,103,1367,1456,269,180,2021,4,-33.9399,151.1753,-37.669,144.841,88.99755501222494
Sydney-Perth,Sydney,Perth,All Airlines,Apr-21,252,250,2,161,184,89,66,2021,4,-33.9399,151.1753,-31.9403,115.9676,73.6
Adelaide-Brisbane,Adelaide,Brisbane,Jetstar,May-21,27,27,0,21,23,6,4,2021,5,-34.945,138.5306,-27.3842,153.1175,85.18518518518519
Adelaide-Gold Coast,Adelaide,Gold Coast,Jetstar,May-21,27,27,0,23,24,4,3,2021,5,-34.945,138.5306,-28.1644,153.5051,88.88888888888889
Adelaide-Melbourne,Adelaide,Melbourne,Jetstar,May-21,110,93,17,81,83,12,10,2021,5,-34.945,138.5306,-37.669,144.841,89.24731182795699
Adelaide-Perth,Adelaide,Perth,Jetstar,May-21,26,25,1,24,24,1,1,2021,5,-34.945,138.5306,-31.9403,115.9676,96.0
Adelaide-Sydney,Adelaide,Sydney,Jetstar,May-21,99,92,7,83,80,9,12,2021,5,-34.945,138.5306,-33.9399,151.1753,86.95652173913044
Brisbane-Adelaide,Brisbane,Adelaide,Jetstar,May-21,27,27,0,17,22,10,5,2021,5,-27.3842,153.1175,-34.945,138.5306,81.48148148148148
Brisbane-Cairns,Brisbane,Cairns,Jetstar,May-21,80,80,0,66,67,14,13,2021,5,-27.3842,153.1175,-16.8858,145.7553,83.75
Brisbane-Darwin,Brisbane,Darwin,Jetstar,May-21,18,18,0,14,7,4,11,2021,5,-27.3842,153.1175,-12.4147,130.8767,38.88888888888889
Brisbane-Melbourne,Brisbane,Melbourne,Jetstar,May-21,180,160,20,130,140,30,20,2021,5,-27.3842,153.1175,-37.669,144.841,87.5
Brisbane-Sydney,Brisbane,Sydney,Jetstar,May-21,166,159,7,134,144,25,15,2021,5,-27.3842,153.1175,-33.9399,151.1753,90.56603773584906
Cairns-Brisbane,Cairns,Brisbane,Jetstar,May-21,80,80,0,70,71,10,9,2021,5,-16.8858,145.7553,-27.3842,153.1175,88.75
Cairns-Melbourne,Cairns,Melbourne,Jetstar,May-21,116,110,6,89,95,21,15,2021,5,-16.8858,145.7553,-37.669,144.841,86.36363636363636
Cairns-Sydney,Cairns,Sydney,Jetstar,May-21,85,81,4,67,71,14,10,2021,5,-16.8858,145.7553,-33.9399,151.1753,87.65432098765432
Darwin-Brisbane,Darwin,Brisbane,Jetstar,May-21,18,18,0,5,6,13,12,2021,5,-12.4147,130.8767,-27.3842,153.1175,33.33333333333333
Gold Coast-Adelaide,Gold Coast,Adelaide,Jetstar,May-21,27,27,0,22,23,5,4,2021,5,-28.1644,153.5051,-34.945,138.5306,85.18518518518519
Gold Coast-Melbourne,Gold Coast,Melbourne,Jetstar,May-21,217,197,20,166,175,31,22,2021,5,-28.1644,153.5051,-37.669,144.841,88.83248730964468
Gold Coast-Sydney,Gold Coast,Sydney,Jetstar,May-21,261,234,27,202,204,32,30,2021,5,-28.1644,153.5051,-33.9399,151.1753,87.17948717948718
Melbourne-Adelaide,Melbourne,Adelaide,Jetstar,May-21,110,93,17,81,84,12,9,2021,5,-37.669,144.841,-34.945,138.5306,90.32258064516128
Melbourne-Brisbane,Melbourne,Brisbane,Jetstar,May-21,180,160,20,136,130,24,30,2021,5,-37.669,144.841,-27.3842,153.1175,81.25
Melbourne-Cairns,Melbourne,Cairns,Jetstar,May-21,116,110,6,82,93,28,17,2021,5,-37.669,144.841,-16.8858,145.7553,84.54545454545455
Melbourne-Gold Coast,Melbourne,Gold Coast,Jetstar,May-21,217,197,20,161,159,36,38,2021,5,-37.669,144.841,-28.1644,153.5051,80.71065989847716
Melbourne-Perth,Melbourne,Perth,Jetstar,May-21,62,51,11,43,41,8,10,2021,5,-37.669,144.841,-31.9403,115.9676,80.3921568627451
Melbourne-Sydney,Melbourne,Sydney,Jetstar,May-21,332,257,75,220,224,37,33,2021,5,-37.669,144.841,-33.9399,151.1753,87.15953307392996
Perth-Adelaide,Perth,Adelaide,Jetstar,May-21,26,25,1,18,21,7,4,2021,5,-31.9403,115.9676,-34.945,138.5306,84.0
Perth-Melbourne,Perth,Melbourne,Jetstar,May-21,62,50,12,34,35,16,15,2021,5,-31.9403,115.9676,-37.669,144.841,70.0
Perth-Sydney,Perth,Sydney,Jetstar,May-21,49,47,2,17,21,30,26,2021,5,-31.9403,115.9676,-33.9399,151.1753,44.680851063829785
Sydney-Adelaide,Sydney,Adelaide,Jetstar,May-21,99,92,7,83,84,9,8,2021,5,-33.9399,151.1753,-34.945,138.5306,91.30434782608695
Sydney-Brisbane,Sydney,Brisbane,Jetstar,May-21,165,159,6,134,138,25,21,2021,5,-33.9399,151.1753,-27.3842,153.1175,86.79245283018868
Sydney-Cairns,Sydney,Cairns,Jetstar,May-21,85,81,4,65,70,16,11,2021,5,-33.9399,151.1753,-16.8858,145.7553,86.41975308641975
Sydney-Gold Coast,Sydney,Gold Coast,Jetstar,May-21,261,234,27,201,200,33,34,2021,5,-33.9399,151.1753,-28.1644,153.5051,85.47008547008546
Sydney-Melbourne,Sydney,Melbourne,Jetstar,May-21,331,257,74,227,233,30,24,2021,5,-33.9399,151.1753,-37.669,144.841,90.6614785992218
Sydney-Perth,Sydney,Perth,Jetstar,May-21,49,49,0,30,38,19,11,2021,5,-33.9399,151.1753,-31.9403,115.9676,77.55102040816327
Adelaide-Brisbane,Adelaide,Brisbane,Qantas,May-21,98,98,0,93,91,5,7,2021,5,-34.945,138.5306,-27.3842,153.1175,92.85714285714286
Adelaide-Canberra,Adelaide,Canberra,Qantas,May-21,39,39,0,27,25,12,14,2021,5,-34.945,138.5306,-35.3069,149.195,64.1025641025641
Adelaide-Melbourne,Adelaide,Melbourne,Qantas,May-21,220,200,20,184,186,16,14,2021,5,-34.945,138.5306,-37.669,144.841,93.0
Adelaide-Perth,Adelaide,Perth,Qantas,May-21,88,88,0,77,76,11,12,2021,5,-34.945,138.5306,-31.9403,115.9676,86.36363636363636
Adelaide-Sydney,Adelaide,Sydney,Qantas,May-21,191,188,3,175,163,13,25,2021,5,-34.945,138.5306,-33.9399,151.1753,86.70212765957447
Brisbane-Adelaide,Brisbane,Adelaide,Qantas,May-21,98,98,0,87,85,11,13,2021,5,-27.3842,153.1175,-34.945,138.5306,86.73469387755102
Brisbane-Cairns,Brisbane,Cairns,Qantas,May-21,130,130,0,117,112,13,18,2021,5,-27.3842,153.1175,-16.8858,145.7553,86.15384615384616
Brisbane-Canberra,Brisbane,Canberra,Qantas,May-21,48,48,0,46,46,2,2,2021,5,-27.3842,153.1175,-35.3069,149.195,95.83333333333334
Brisbane-Darwin,Brisbane,Darwin,Qantas,May-21,41,40,1,37,30,3,10,2021,5,-27.3842,153.1175,-12.4147,130.8767,75.0
Brisbane-Melbourne,Brisbane,Melbourne,Qantas,May-21,296,269,27,223,240,46,29,2021,5,-27.3842,153.1175,-37.669,144.841,89.21933085501858
Brisbane-Perth,Brisbane,Perth,Qantas,May-21,86,85,1,75,70,10,15,2021,5,-27.3842,153.1175,-31.9403,115.9676,82.35294117647058
Brisbane-Sydney,Brisbane,Sydney,Qantas,May-21,452,435,17,402,407,33,28,2021,5,-27.3842,153.1175,-33.9399,151.1753,93.5632183908046
Cairns-Brisbane,Cairns,Brisbane,Qantas,May-21,131,131,0,124,113,7,18,2021,5,-16.8858,145.7553,-27.3842,153.1175,86.25954198473282
Cairns-Melbourne,Cairns,Melbourne,Qantas,May-21,31,31,0,27,23,4,8,2021,5,-16.8858,145.7553,-37.669,144.841,74.19354838709677
Cairns-Sydney,Cairns,Sydney,Qantas,May-21,50,50,0,42,37,8,13,2021,5,-16.8858,145.7553,-33.9399,151.1753,74.0
Canberra-Adelaide,Canberra,Adelaide,Qantas,May-21,40,40,0,25,30,15,10,2021,5,-35.3069,149.195,-34.945,138.5306,75.0
Canberra-Brisbane,Canberra,Brisbane,Qantas,May-21,48,48,0,46,45,2,3,2021,5,-35.3069,149.195,-27.3842,153.1175,93.75
Canberra-Melbourne,Canberra,Melbourne,Qantas,May-21,35,35,0,33,32,2,3,2021,5,-35.3069,149.195,-37.669,144.841,91.42857142857143
Canberra-Sydney,Canberra,Sydney,Qantas,May-21,17,17,0,17,17,0,0,2021,5,-35.3069,149.195,-33.9399,151.1753,100.0
Darwin-Brisbane,Darwin,Brisbane,Qantas,May-21,39,38,1,18,22,20,16,2021,5,-12.4147,130.8767,-27.3842,153.1175,57.89473684210527
Darwin-Perth,Darwin,Perth,Qantas,May-21,31,31,0,24,21,7,10,2021,5,-12.4147,130.8767,-31.9403,115.9676,67.74193548387096
Gold Coast-Melbourne,Gold Coast,Melbourne,Qantas,May-21,58,58,0,52,53,6,5,2021,5,-28.1644,153.5051,-37.669,144.841,91.37931034482759
Gold Coast-Sydney,Gold Coast,Sydney,Qantas,May-21,88,86,2,74,74,12,12,2021,5,-28.1644,153.5051,-33.9399,151.1753,86.04651162790698
Melbourne-Adelaide,Melbourne,Adelaide,Qantas,May-21,221,200,21,187,186,13,14,2021,5,-37.669,144.841,-34.945,138.5306,93.0
Melbourne-Brisbane,Melbourne,Brisbane,Qantas,May-21,296,274,22,240,238,34,36,2021,5,-37.669,144.841,-27.3842,153.1175,86.86131386861314
Melbourne-Cairns,Melbourne,Cairns,Qantas,May-21,31,31,0,23,24,8,7,2021,5,-37.669,144.841,-16.8858,145.7553,77.41935483870968
Melbourne-Canberra,Melbourne,Canberra,Qantas,May-21,35,35,0,32,33,3,2,2021,5,-37.669,144.841,-35.3069,149.195,94.28571428571428
Melbourne-Gold Coast,Melbourne,Gold Coast,Qantas,May-21,58,57,1,47,47,10,10,2021,5,-37.669,144.841,-28.1644,153.5051,82.45614035087719
Melbourne-Perth,Melbourne,Perth,Qantas,May-21,140,133,7,108,95,25,38,2021,5,-37.669,144.841,-31.9403,115.9676,71.42857142857143
Melbourne-Sydney,Melbourne,Sydney,Qantas,May-21,805,679,126,628,619,51,60,2021,5,-37.669,144.841,-33.9399,151.1753,91.16347569955818
Perth-Adelaide,Perth,Adelaide,Qantas,May-21,89,89,0,79,75,10,14,2021,5,-31.9403,115.9676,-34.945,138.5306,84.26966292134831
Perth-Brisbane,Perth,Brisbane,Qantas,May-21,86,85,1,70,34,15,51,2021,5,-31.9403,115.9676,-27.3842,153.1175,40.0
Perth-Darwin,Perth,Darwin,Qantas,May-21,31,31,0,28,26,3,5,2021,5,-31.9403,115.9676,-12.4147,130.8767,83.87096774193549
Perth-Melbourne,Perth,Melbourne,Qantas,May-21,140,133,7,110,93,23,40,2021,5,-31.9403,115.9676,-37.669,144.841,69.92481203007519
Perth-Sydney,Perth,Sydney,Qantas,May-21,172,170,2,150,134,20,36,2021,5,-31.9403,115.9676,-33.9399,151.1753,78.82352941176471
Sydney-Adelaide,Sydney,Adelaide,Qantas,May-21,190,190,0,167,168,23,22,2021,5,-33.9399,151.1753,-34.945,138.5306,88.42105263157895
Sydney-Brisbane,Sydney,Brisbane,Qantas,May-21,454,436,18,377,378,59,58,2021,5,-33.9399,151.1753,-27.3842,153.1175,86.69724770642202
Sydney-Cairns,Sydney,Cairns,Qantas,May-21,50,50,0,33,36,17,14,2021,5,-33.9399,151.1753,-16.8858,145.7553,72.0
Sydney-Canberra,Sydney,Canberra,Qantas,May-21,17,17,0,17,17,0,0,2021,5,-33.9399,151.1753,-35.3069,149.195,100.0
Sydney-Gold Coast,Sydney,Gold Coast,Qantas,May-21,88,87,1,76,81,11,6,2021,5,-33.9399,151.1753,-28.1644,153.5051,93.10344827586206
Sydney-Melbourne,Sydney,Melbourne,Qantas,May-21,806,680,126,608,627,72,53,2021,5,-33.9399,151.1753,-37.669,144.841,92.20588235294119
Sydney-Perth,Sydney,Perth,Qantas,May-21,175,173,2,140,129,33,44,2021,5,-33.9399,151.1753,-31.9403,115.9676,74.56647398843931
Brisbane-Cairns,Brisbane,Cairns,QantasLink,May-21,12,12,0,10,7,2,5,2021,5,-27.3842,153.1175,-16.8858,145.7553,58.333333333333336
Brisbane-Canberra,Brisbane,Canberra,QantasLink,May-21,133,131,2,104,104,27,27,2021,5,-27.3842,153.1175,-35.3069,149.195,79.38931297709924
Cairns-Brisbane,Cairns,Brisbane,QantasLink,May-21,12,12,0,7,5,5,7,2021,5,-16.8858,145.7553,-27.3842,153.1175,41.66666666666667
Canberra-Brisbane,Canberra,Brisbane,QantasLink,May-21,132,129,3,102,96,27,33,2021,5,-35.3069,149.195,-27.3842,153.1175,74.4186046511628
Canberra-Melbourne,Canberra,Melbourne,QantasLink,May-21,205,185,20,135,129,50,56,2021,5,-35.3069,149.195,-37.669,144.841,69.72972972972973
Canberra-Sydney,Canberra,Sydney,QantasLink,May-21,285,252,33,210,207,42,45,2021,5,-35.3069,149.195,-33.9399,151.1753,82.14285714285714
Gold Coast-Melbourne,Gold Coast,Melbourne,QantasLink,May-21,4,4,0,2,2,2,2,2021,5,-28.1644,153.5051,-37.669,144.841,50.0
Melbourne-Canberra,Melbourne,Canberra,QantasLink,May-21,206,191,15,133,128,58,63,2021,5,-37.669,144.841,-35.3069,149.195,67.01570680628272
Melbourne-Gold Coast,Melbourne,Gold Coast,QantasLink,May-21,4,4,0,2,2,2,2,2021,5,-37.669,144.841,-28.1644,153.5051,50.0
Sydney-Canberra,Sydney,Canberra,QantasLink,May-21,286,258,28,198,200,60,58,2021,5,-33.9399,151.1753,-35.3069,149.195,77.51937984496125
Adelaide-Melbourne,Adelaide,Melbourne,Regional Express,May-21,70,66,4,56,55,10,11,2021,5,-34.945,138.5306,-37.669,144.841,83.33333333333334
Canberra-Sydney,Canberra,Sydney,Regional Express,May-21,195,189,6,149,139,40,50,2021,5,-35.3069,149.195,-33.9399,151.1753,73.54497354497354
Gold Coast-Melbourne,Gold Coast,Melbourne,Regional Express,May-21,61,58,3,42,35,16,23,2021,5,-28.1644,153.5051,-37.669,144.841,60.3448275862069
Gold Coast-Sydney,Gold Coast,Sydney,Regional Express,May-21,63,63,0,57,56,6,7,2021,5,-28.1644,153.5051,-33.9399,151.1753,88.88888888888889
Melbourne-Adelaide,Melbourne,Adelaide,Regional Express,May-21,69,64,5,52,52,12,12,2021,5,-37.669,144.841,-34.945,138.5306,81.25
Melbourne-Gold Coast,Melbourne,Gold Coast,Regional Express,May-21,62,59,3,41,44,18,15,2021,5,-37.669,144.841,-28.1644,153.5051,74.57627118644068
Melbourne-Sydney,Melbourne,Sydney,Regional Express,May-21,162,148,14,126,128,22,20,2021,5,-37.669,144.841,-33.9399,151.1753,86.48648648648648
Sydney-Canberra,Sydney,Canberra,Regional Express,May-21,196,190,6,150,133,40,57,2021,5,-33.9399,151.1753,-35.3069,149.195,70.0
Sydney-Gold Coast,Sydney,Gold Coast,Regional Express,May-21,62,62,0,54,51,8,11,2021,5,-33.9399,151.1753,-28.1644,153.5051,82.25806451612904
Sydney-Melbourne,Sydney,Melbourne,Regional Express,May-21,151,139,12,124,121,15,18,2021,5,-33.9399,151.1753,-37.669,144.841,87.05035971223022
Adelaide-Brisbane,Adelaide,Brisbane,Virgin Australia,May-21,110,107,3,87,93,20,14,2021,5,-34.945,138.5306,-27.3842,153.1175,86.91588785046729
Adelaide-Canberra,Adelaide,Canberra,Virgin Australia,May-21,26,26,0,23,24,3,2,2021,5,-34.945,138.5306,-35.3069,149.195,92.3076923076923
Adelaide-Gold Coast,Adelaide,Gold Coast,Virgin Australia,May-21,31,31,0,28,29,3,2,2021,5,-34.945,138.5306,-28.1644,153.5051,93.54838709677419
Adelaide-Melbourne,Adelaide,Melbourne,Virgin Australia,May-21,206,179,27,145,152,34,27,2021,5,-34.945,138.5306,-37.669,144.841,84.91620111731844
Adelaide-Perth,Adelaide,Perth,Virgin Australia,May-21,38,38,0,35,36,3,2,2021,5,-34.945,138.5306,-31.9403,115.9676,94.73684210526315
Adelaide-Sydney,Adelaide,Sydney,Virgin Australia,May-21,127,125,2,109,102,16,23,2021,5,-34.945,138.5306,-33.9399,151.1753,81.6
Brisbane-Adelaide,Brisbane,Adelaide,Virgin Australia,May-21,110,106,4,80,94,26,12,2021,5,-27.3842,153.1175,-34.945,138.5306,88.67924528301887
Brisbane-Cairns,Brisbane,Cairns,Virgin Australia,May-21,131,131,0,97,102,34,29,2021,5,-27.3842,153.1175,-16.8858,145.7553,77.86259541984732
Brisbane-Canberra,Brisbane,Canberra,Virgin Australia,May-21,78,78,0,59,63,19,15,2021,5,-27.3842,153.1175,-35.3069,149.195,80.76923076923077
Brisbane-Darwin,Brisbane,Darwin,Virgin Australia,May-21,39,39,0,30,34,9,5,2021,5,-27.3842,153.1175,-12.4147,130.8767,87.17948717948718
Brisbane-Melbourne,Brisbane,Melbourne,Virgin Australia,May-21,271,238,33,174,189,64,49,2021,5,-27.3842,153.1175,-37.669,144.841,79.41176470588235
Brisbane-Perth,Brisbane,Perth,Virgin Australia,May-21,68,67,1,42,55,25,12,2021,5,-27.3842,153.1175,-31.9403,115.9676,82.08955223880598
Brisbane-Sydney,Brisbane,Sydney,Virgin Australia,May-21,346,328,18,273,280,55,48,2021,5,-27.3842,153.1175,-33.9399,151.1753,85.36585365853658
Cairns-Brisbane,Cairns,Brisbane,Virgin Australia,May-21,131,131,0,108,116,23,15,2021,5,-16.8858,145.7553,-27.3842,153.1175,88.54961832061069
Cairns-Melbourne,Cairns,Melbourne,Virgin Australia,May-21,36,35,1,29,26,6,9,2021,5,-16.8858,145.7553,-37.669,144.841,74.28571428571429
Cairns-Sydney,Cairns,Sydney,Virgin Australia,May-21,48,44,4,40,42,4,2,2021,5,-16.8858,145.7553,-33.9399,151.1753,95.45454545454545
Canberra-Adelaide,Canberra,Adelaide,Virgin Australia,May-21,26,26,0,19,20,7,6,2021,5,-35.3069,149.195,-34.945,138.5306,76.92307692307693
Canberra-Brisbane,Canberra,Brisbane,Virgin Australia,May-21,78,78,0,61,64,17,14,2021,5,-35.3069,149.195,-27.3842,153.1175,82.05128205128204
Canberra-Melbourne,Canberra,Melbourne,Virgin Australia,May-21,82,77,5,67,66,10,11,2021,5,-35.3069,149.195,-37.669,144.841,85.71428571428571
Darwin-Brisbane,Darwin,Brisbane,Virgin Australia,May-21,40,40,0,28,35,12,5,2021,5,-12.4147,130.8767,-27.3842,153.1175,87.5
Darwin-Perth,Darwin,Perth,Virgin Australia,May-21,11,11,0,9,10,2,1,2021,5,-12.4147,130.8767,-31.9403,115.9676,90.9090909090909
Gold Coast-Adelaide,Gold Coast,Adelaide,Virgin Australia,May-21,31,31,0,26,26,5,5,2021,5,-28.1644,153.5051,-34.945,138.5306,83.87096774193549
Gold Coast-Melbourne,Gold Coast,Melbourne,Virgin Australia,May-21,216,200,16,154,175,46,25,2021,5,-28.1644,153.5051,-37.669,144.841,87.5
Gold Coast-Sydney,Gold Coast,Sydney,Virgin Australia,May-21,239,236,3,203,213,33,23,2021,5,-28.1644,153.5051,-33.9399,151.1753,90.2542372881356
Melbourne-Adelaide,Melbourne,Adelaide,Virgin Australia,May-21,206,179,27,146,150,33,29,2021,5,-37.669,144.841,-34.945,138.5306,83.79888268156425
Melbourne-Brisbane,Melbourne,Brisbane,Virgin Australia,May-21,268,238,30,195,193,43,45,2021,5,-37.669,144.841,-27.3842,153.1175,81.09243697478992
Melbourne-Cairns,Melbourne,Cairns,Virgin Australia,May-21,36,35,1,30,31,5,4,2021,5,-37.669,144.841,-16.8858,145.7553,88.57142857142857
Melbourne-Canberra,Melbourne,Canberra,Virgin Australia,May-21,82,76,6,62,63,14,13,2021,5,-37.669,144.841,-35.3069,149.195,82.89473684210526
Melbourne-Gold Coast,Melbourne,Gold Coast,Virgin Australia,May-21,217,200,17,161,166,39,34,2021,5,-37.669,144.841,-28.1644,153.5051,83.0
Melbourne-Perth,Melbourne,Perth,Virgin Australia,May-21,119,98,21,74,79,24,19,2021,5,-37.669,144.841,-31.9403,115.9676,80.61224489795919
Melbourne-Sydney,Melbourne,Sydney,Virgin Australia,May-21,574,505,69,413,409,92,96,2021,5,-37.669,144.841,-33.9399,151.1753,80.990099009901
Perth-Adelaide,Perth,Adelaide,Virgin Australia,May-21,38,37,1,36,35,1,2,2021,5,-31.9403,115.9676,-34.945,138.5306,94.5945945945946
Perth-Brisbane,Perth,Brisbane,Virgin Australia,May-21,67,66,1,58,59,8,7,2021,5,-31.9403,115.9676,-27.3842,153.1175,89.39393939393939
