"Route","Departing_Port","Arriving_Port","Airline","Month","Sectors_Scheduled","Sectors_Flown","Cancellations","Departures_On_Time","Arrivals_On_Time","Departures_Delayed","Arrivals_Delayed","Year","Month_Num"
"Sydney-Brisbane","Sydney","Brisbane","Jetstar","Jan-20",152,148,4,86,98,62,50,2020,1
"Sydney-Cairns","Sydney","Cairns","Jetstar","Jan-20",92,91,1,68,75,23,16,2020,1
"Sydney-Darwin","Sydney","Darwin","Jetstar","Jan-20",27,25,2,18,22,7,3,2020,1
"Sydney-Gold Coast","Sydney","Gold Coast","Jetstar","Jan-20",288,282,6,187,190,95,92,2020,1
"Sydney-Hamilton Island","Sydney","Hamilton Island","Jetstar","Jan-20",30,30,0,27,27,3,3,2020,1
"Sydney-Hobart","Sydney","Hobart","Jetstar","Jan-20",108,106,2,63,77,43,29,2020,1
"Sydney-Launceston","Sydney","Launceston","Jetstar","Jan-20",62,62,0,45,53,17,9,2020,1
"Sydney-Melbourne","Sydney","Melbourne","Jetstar","Jan-20",462,440,22,266,280,174,160,2020,1
"Sydney-Perth","Sydney","Perth","Jetstar","Jan-20",31,31,0,24,27,7,4,2020,1
"Sydney-Proserpine","Sydney","Proserpine","Jetstar","Jan-20",13,13,0,6,9,7,4,2020,1
"Sydney-Sunshine Coast","Sydney","Sunshine Coast","Jetstar","Jan-20",62,62,0,40,45,22,17,2020,1
"Sydney-Townsville","Sydney","Townsville","Jetstar","Jan-20",30,30,0,23,24,7,6,2020,1
"Townsville-Brisbane","Townsville","Brisbane","Jetstar","Jan-20",62,61,1,45,45,16,16,2020,1
"Townsville-Sydney","Townsville","Sydney","Jetstar","Jan-20",30,30,0,20,20,10,10,2020,1
"Adelaide-Alice Springs","Adelaide","Alice Springs","Qantas","Jan-20",31,31,0,27,28,4,3,2020,1
"Adelaide-Brisbane","Adelaide","Brisbane","Qantas","Jan-20",108,107,1,98,97,9,10,2020,1
"Adelaide-Canberra","Adelaide","Canberra","Qantas","Jan-20",31,30,1,28,29,2,1,2020,1
"Adelaide-Melbourne","Adelaide","Melbourne","Qantas","Jan-20",256,246,10,184,182,62,64,2020,1
"Adelaide-Perth","Adelaide","Perth","Qantas","Jan-20",107,107,0,89,91,18,16,2020,1
"Adelaide-Sydney","Adelaide","Sydney","Qantas","Jan-20",257,252,5,206,205,46,47,2020,1
"Alice Springs-Adelaide","Alice Springs","Adelaide","Qantas","Jan-20",32,32,0,25,27,7,5,2020,1
"Brisbane-Adelaide","Brisbane","Adelaide","Qantas","Jan-20",108,106,2,87,94,19,12,2020,1
"Brisbane-Cairns","Brisbane","Cairns","Qantas","Jan-20",21,21,0,18,18,3,3,2020,1
"Brisbane-Darwin","Brisbane","Darwin","Qantas","Jan-20",30,30,0,27,25,3,5,2020,1
"Brisbane-Melbourne","Brisbane","Melbourne","Qantas","Jan-20",391,382,9,281,270,101,112,2020,1
"Brisbane-Perth","Brisbane","Perth","Qantas","Jan-20",145,144,1,96,111,48,33,2020,1
"Brisbane-Sydney","Brisbane","Sydney","Qantas","Jan-20",503,490,13,390,367,100,123,2020,1
"Brisbane-Townsville","Brisbane","Townsville","Qantas","Jan-20",35,35,0,29,32,6,3,2020,1
"Broome-Perth","Broome","Perth","Qantas","Jan-20",2,2,0,0,0,2,2,2020,1
"Cairns-Brisbane","Cairns","Brisbane","Qantas","Jan-20",21,21,0,18,18,3,3,2020,1
"Cairns-Melbourne","Cairns","Melbourne","Qantas","Jan-20",36,36,0,20,22,16,14,2020,1
"Cairns-Sydney","Cairns","Sydney","Qantas","Jan-20",70,70,0,49,48,21,22,2020,1
"Canberra-Adelaide","Canberra","Adelaide","Qantas","Jan-20",31,29,2,27,27,2,2,2020,1
"Canberra-Melbourne","Canberra","Melbourne","Qantas","Jan-20",172,159,13,127,123,32,36,2020,1
"Darwin-Brisbane","Darwin","Brisbane","Qantas","Jan-20",31,31,0,23,20,8,11,2020,1
"Darwin-Melbourne","Darwin","Melbourne","Qantas","Jan-20",26,26,0,21,17,5,9,2020,1
"Darwin-Perth","Darwin","Perth","Qantas","Jan-20",31,31,0,30,30,1,1,2020,1
"Darwin-Sydney","Darwin","Sydney","Qantas","Jan-20",31,31,0,26,25,5,6,2020,1
"Gold Coast-Melbourne","Gold Coast","Melbourne","Qantas","Jan-20",42,42,0,14,18,28,24,2020,1
"Gold Coast-Sydney","Gold Coast","Sydney","Qantas","Jan-20",158,157,1,91,107,66,50,2020,1
"Hamilton Island-Sydney","Hamilton Island","Sydney","Qantas","Jan-20",12,12,0,10,10,2,2,2020,1
"Hobart-Melbourne","Hobart","Melbourne","Qantas","Jan-20",120,120,0,82,75,38,45,2020,1
"Kalgoorlie-Perth","Kalgoorlie","Perth","Qantas","Jan-20",12,12,0,11,11,1,1,2020,1
"Karratha-Perth","Karratha","Perth","Qantas","Jan-20",62,60,2,55,56,5,4,2020,1
"Melbourne-Adelaide","Melbourne","Adelaide","Qantas","Jan-20",255,245,10,193,176,52,69,2020,1
"Melbourne-Brisbane","Melbourne","Brisbane","Qantas","Jan-20",394,380,14,290,260,90,120,2020,1
"Melbourne-Cairns","Melbourne","Cairns","Qantas","Jan-20",37,37,0,28,27,9,10,2020,1
"Melbourne-Canberra","Melbourne","Canberra","Qantas","Jan-20",172,159,13,123,113,36,46,2020,1
"Melbourne-Darwin","Melbourne","Darwin","Qantas","Jan-20",26,26,0,24,25,2,1,2020,1
"Melbourne-Gold Coast","Melbourne","Gold Coast","Qantas","Jan-20",43,43,0,36,30,7,13,2020,1
"Melbourne-Hobart","Melbourne","Hobart","Qantas","Jan-20",120,120,0,87,89,33,31,2020,1
"Melbourne-Perth","Melbourne","Perth","Qantas","Jan-20",211,206,5,135,136,71,70,2020,1
"Melbourne-Sydney","Melbourne","Sydney","Qantas","Jan-20",916,847,69,676,565,171,282,2020,1
"Newman-Perth","Newman","Perth","Qantas","Jan-20",44,40,4,36,36,4,4,2020,1
"Perth-Adelaide","Perth","Adelaide","Qantas","Jan-20",108,108,0,84,88,24,20,2020,1
"Perth-Brisbane","Perth","Brisbane","Qantas","Jan-20",146,145,1,121,119,24,26,2020,1
"Perth-Broome","Perth","Broome","Qantas","Jan-20",2,2,0,0,0,2,2,2020,1
"Perth-Darwin","Perth","Darwin","Qantas","Jan-20",31,31,0,31,31,0,0,2020,1
"Perth-Kalgoorlie","Perth","Kalgoorlie","Qantas","Jan-20",12,12,0,10,10,2,2,2020,1
"Perth-Karratha","Perth","Karratha","Qantas","Jan-20",63,60,3,57,57,3,3,2020,1
"Perth-Melbourne","Perth","Melbourne","Qantas","Jan-20",211,207,4,141,158,66,49,2020,1
"Perth-Newman","Perth","Newman","Qantas","Jan-20",43,40,3,40,39,0,1,2020,1
"Perth-Port Hedland","Perth","Port Hedland","Qantas","Jan-20",27,26,1,25,24,1,2,2020,1
"Perth-Sydney","Perth","Sydney","Qantas","Jan-20",196,194,2,137,142,57,52,2020,1
"Port Hedland-Perth","Port Hedland","Perth","Qantas","Jan-20",26,25,1,22,24,3,1,2020,1
"Sydney-Adelaide","Sydney","Adelaide","Qantas","Jan-20",258,254,4,197,208,57,46,2020,1
"Sydney-Brisbane","Sydney","Brisbane","Qantas","Jan-20",500,494,6,378,379,116,115,2020,1
"Sydney-Cairns","Sydney","Cairns","Qantas","Jan-20",70,70,0,54,57,16,13,2020,1
"Sydney-Darwin","Sydney","Darwin","Qantas","Jan-20",31,31,0,18,26,13,5,2020,1
"Sydney-Gold Coast","Sydney","Gold Coast","Qantas","Jan-20",155,154,1,120,123,34,31,2020,1
"Sydney-Hamilton Island","Sydney","Hamilton Island","Qantas","Jan-20",11,11,0,9,9,2,2,2020,1
"Sydney-Melbourne","Sydney","Melbourne","Qantas","Jan-20",914,847,67,628,576,219,271,2020,1
"Sydney-Perth","Sydney","Perth","Qantas","Jan-20",194,193,1,106,135,87,58,2020,1
"Townsville-Brisbane","Townsville","Brisbane","Qantas","Jan-20",35,35,0,29,30,6,5,2020,1
"Adelaide-Canberra","Adelaide","Canberra","QantasLink","Jan-20",4,4,0,4,4,0,0,2020,1
"Adelaide-Port Lincoln","Adelaide","Port Lincoln","QantasLink","Jan-20",103,103,0,90,90,13,13,2020,1
"Albury-Sydney","Albury","Sydney","QantasLink","Jan-20",86,72,14,50,47,22,25,2020,1
"Alice Springs-Darwin","Alice Springs","Darwin","QantasLink","Jan-20",35,34,1,34,34,0,0,2020,1
"Armidale-Sydney","Armidale","Sydney","QantasLink","Jan-20",103,101,2,62,62,39,39,2020,1
"Brisbane-Bundaberg","Brisbane","Bundaberg","QantasLink","Jan-20",105,105,0,96,99,9,6,2020,1
"Brisbane-Cairns","Brisbane","Cairns","QantasLink","Jan-20",134,133,1,117,120,16,13,2020,1
